stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
1301,,"Summerland Cct after Vanzetti Cr",, -35.391098, 149.071579,,,0
1302,,"Summerland Cct before Kingsmill St",, -35.390980, 149.071503,,,0
1303,,"Summerland Cct after Kingsmill St",, -35.390030, 149.073547,,,0
1304,,"Summerland Cct after Livingston Av",, -35.390171, 149.073486,,,0
1309,,"Livingston Av after Cutbush St",, -35.389587, 149.079208,,,0
1310,,"Livingston Av after Shops",, -35.389343, 149.079285,,,0
1311,,"Livingston Av after Maxworthy St",, -35.388111, 149.081116,,,0
1312,,"Livingston Av before Maxworthy St",, -35.387970, 149.081268,,,0
1313,,"Livingston Av after Symers St",, -35.387684, 149.083832,,,0
1314,,"Livingston Av after Atkins St",, -35.387806, 149.084122,,,0
1315,,"Atkins St after Athllon Dr",, -35.388237, 149.085724,,,0
1316,,"Atkins St after Livingston Av",, -35.388206, 149.085892,,,0
1317,,"Garratt St opp Wanniassa Shops",, -35.392429, 149.086670,,,0
1318,,"Garratt St Wanniassa Shops",, -35.392551, 149.086533,,,0
1319,,"Wheeler Cr after Hyland Pl",, -35.394196, 149.084366,,,0
1321,,"Wheeler Cr after Wanniassa HS",, -35.394279, 149.084976,,,0
1323,,"Fincham Cr after Morrissey St",, -35.396160, 149.078903,,,0
1324,,"Fincham Cr after Wheeler Cr",, -35.396301, 149.079132,,,0
1325,,"Fincham Cr 2nd after Wheeler Cr",, -35.398613, 149.080307,,,0
1326,,"Fincham Cr after DeGraves Cr",, -35.398903, 149.080521,,,0
1327,,"Forlonge St after Fincham Cr",, -35.401054, 149.081268,,,0
1328,,"Forlonge St after Wheeler Cr",, -35.401413, 149.080933,,,0
1329,,"Wheeler Cr after Annand Pl",, -35.404076, 149.081818,,,0
1330,,"Wheeler Cr after Derham Cct",, -35.403996, 149.081787,,,0
1331,,"Wheeler Cr after Riddell Ct",, -35.404007, 149.084915,,,0
1332,,"Wheeler Cr after Curtain Pl",, -35.404175, 149.084351,,,0
1333,,"Sternberg Cr after Mackinnon St",, -35.403706, 149.088928,,,0
1334,,"Sternberg Cr after Sitwell St",, -35.403545, 149.088531,,,0
1335,,"Sternberg Cr back of MacKillop CLG",, -35.402386, 149.092804,,,0
1336,,"Sternberg Cr before Wynne St",, -35.401199, 149.094986,,,0
1337,,"Sternberg Cr after Wheeler Cr",, -35.402351, 149.092728,,,0
1338,,"Sternberg Cr after Whiteman St",, -35.401035, 149.095200,,,0
1339,,"Sternberg Cr after Langdon Av",, -35.401527, 149.098862,,,0
1340,,"Sternberg Cr Erindale Centre",, -35.401470, 149.097214,,,0
1341,,"Drakeford Dr after Boddington Cr",, -35.377342, 149.056198,,,0
1342,,"Drakeford Dr after Sulwood Dr",, -35.375931, 149.056793,,,0
1343,,"Marconi Cr opp Kambah Village",, -35.378929, 149.057632,,,0
1344,,"Marconi Cr Kambah Village",, -35.379135, 149.057770,,,0
1345,,"Marconi Cr after Harrington Cct",, -35.377834, 149.060638,,,0
1346,,"Marconi Cr after Wyselaskie Cct",, -35.378265, 149.060104,,,0
1347,,"Marconi Cr opp Taylor PS after Sinclair St",, -35.377613, 149.064026,,,0
1348,,"Marconi Cr Taylor PS",, -35.377739, 149.064056,,,0
